Frequency;Channel C
(MHz);(dBu)

1,16157532;-52,53335000
1,16348267;-52,62001000
1,16539001;-53,08388000
1,16729736;-52,97113000
1,16920471;-52,69760000
1,17111206;-52,59893000
1,17301941;-52,55337000
1,17492676;-52,74483000
1,17683411;-52,66912000
1,17874146;-52,77016000
1,18064880;-52,61031000
1,18255615;-52,99853000
1,18446350;-53,07841000
1,18637085;-53,11284000
1,18827820;-53,02455000
1,19018555;-52,79296000
1,19209290;-52,69938000
1,19400024;-52,56816000
1,19590759;-52,73490000
1,19781494;-52,84542000
1,19972229;-53,00340000
1,20162964;-52,89321000
1,20353699;-52,94545000
1,20544434;-52,90796000
1,20735168;-52,79949000
1,20925903;-52,81271000
1,21116638;-52,78248000
1,21307373;-52,94192000
1,21498108;-53,01979000
1,21688843;-52,91427000
1,21879578;-52,91979000
1,22070313;-52,83127000
1,22261047;-52,79312000
1,22451782;-53,05971000
1,22642517;-53,12057000
1,22833252;-52,92899000
1,23023987;-53,21236000
1,23214722;-53,00439000
1,23405457;-53,06966000
1,23596191;-53,13240000
1,23786926;-53,04214000
1,23977661;-53,05836000
1,24168396;-52,99324000
1,24359131;-53,01995000
1,24549866;-53,08362000
1,24740601;-53,22135000
1,24931335;-53,33541000
1,25122070;-52,98635000
1,25312805;-53,03320000
1,25503540;-53,13238000
1,25694275;-53,17702000
1,25885010;-53,29583000
1,26075745;-53,11920000
1,26266479;-52,77077000
1,26457214;-52,98322000
1,26647949;-53,35189000
1,26838684;-53,56174000
1,27029419;-53,39515000
1,27220154;-53,14230000
1,27410889;-52,92646000
1,27601624;-53,15598000
1,27792358;-52,98811000
1,27983093;-53,11353000
1,28173828;-52,98717000
1,28364563;-53,10334000
1,28555298;-53,00940000
1,28746033;-53,03648000
1,28936768;-53,10304000
1,29127502;-53,12619000
1,29318237;-53,39211000
1,29508972;-53,36526000
1,29699707;-53,11241000
1,29890442;-53,08829000
1,30081177;-52,97729000
1,30271912;-52,95779000
1,30462646;-53,20082000
1,30653381;-53,56105000
1,30844116;-53,51224000
1,31034851;-53,36830000
1,31225586;-53,48551000
1,31416321;-53,31000000
1,31607056;-53,26645000
1,31797791;-53,21363000
1,31988525;-53,20221000
1,32179260;-53,22808000
1,32369995;-53,36530000
1,32560730;-53,27181000
1,32751465;-53,18931000
1,32942200;-53,32641000
1,33132935;-53,46312000
1,33323669;-53,55459000
1,33514404;-53,38064000
1,33705139;-53,51881000
1,33895874;-53,57191000
1,34086609;-53,54248000
1,34277344;-53,56571000
1,34468079;-53,33596000
1,34658813;-53,43599000
1,34849548;-53,77483000
1,35040283;-53,90855000
1,35231018;-53,66570000
